epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.8969,2.11217,2.89214,2.36579,0.00367,0.95652,0.04411,0.01326,1.88038,3.67714,2.24082,2e-05,2e-05,2e-05
2,17.8171,1.81582,2.86701,2.23229,0.00383,1,0.0949,0.03633,1.683,3.51411,2.07133,5.7624e-05,5.7624e-05,5.7624e-05
3,25.6288,1.68832,2.72847,2.08302,0.00383,1,0.33326,0.15473,1.4213,3.38596,1.8233,9.208e-05,9.208e-05,9.208e-05
4,33.4017,1.64253,2.62007,2.00875,0.00383,1,0.55722,0.27984,1.21743,3.30939,1.68273,0.000123368,0.000123368,0.000123368
5,40.7467,1.33496,2.47669,1.69613,0.00383,1,0.5297,0.30238,1.11545,3.32578,1.62637,0.000151488,0.000151488,0.000151488
6,48.1334,1.62838,2.34777,1.81172,0.00383,1,0.67181,0.28197,1.21973,3.32536,1.632,0.00017644,0.00017644,0.00017644
7,55.5077,1.39615,1.96448,1.71557,0.00383,1,0.54572,0.26382,1.27258,3.3094,1.66134,0.000198224,0.000198224,0.000198224
8,63.1668,1.09253,1.86305,1.46334,0.00383,1,0.5626,0.25098,1.29935,3.35955,1.70177,0.00021684,0.00021684,0.00021684
9,70.5734,1.47392,1.97357,1.76447,0.00383,1,0.52298,0.23602,1.28406,3.36537,1.68966,0.000232288,0.000232288,0.000232288
10,77.796,1.24134,1.97007,1.64212,0.00383,1,0.61929,0.25931,1.30745,3.27611,1.7172,0.000244568,0.000244568,0.000244568
11,85.0738,1.20583,1.89229,1.58793,0.00383,1,0.61265,0.2688,1.2137,3.35236,1.64274,0.00025368,0.00025368,0.00025368
12,92.5083,1.18282,1.82894,1.52338,0.00367,0.95652,0.63119,0.27766,1.23138,3.34914,1.62897,0.000259624,0.000259624,0.000259624
13,99.757,1.37545,1.71979,1.64122,0.00383,1,0.76762,0.37213,1.21594,3.21484,1.62706,0.0002624,0.0002624,0.0002624
14,107.211,1.14574,1.66009,1.43922,0.00383,1,0.74041,0.40281,1.19716,3.21515,1.6234,0.000262008,0.000262008,0.000262008
15,114.698,1.06322,1.67051,1.45776,0.00383,1,0.71547,0.39855,1.27235,3.2041,1.63656,0.000258448,0.000258448,0.000258448
16,122.325,1.01571,2.38158,1.56918,0.00383,1,0.76141,0.43369,1.23166,3.18976,1.58605,0.00025172,0.00025172,0.00025172
17,129.893,1.06279,2.42689,1.67803,0.00383,1,0.79584,0.49547,1.12901,3.12046,1.5222,0.000241824,0.000241824,0.000241824
18,137.391,1.43663,2.46619,2.20553,0.00383,1,0.84217,0.55744,1.0169,3.03757,1.44451,0.00022876,0.00022876,0.00022876
19,144.95,1.04376,1.96096,1.73675,0.02223,1,0.90966,0.53338,0.94699,2.99944,1.4271,0.000212528,0.000212528,0.000212528
20,152.244,0.88409,2.12275,1.61945,1,0.59434,0.9306,0.59836,0.97175,2.91252,1.43128,0.000193128,0.000193128,0.000193128
21,159.733,0.8635,1.85518,1.32516,1,0.09972,0.94423,0.58077,1.00657,2.91066,1.43258,0.00017056,0.00017056,0.00017056
22,167.336,0.9131,2.14184,1.51597,1,0.08573,0.95873,0.63197,0.95642,2.84081,1.3939,0.000144824,0.000144824,0.000144824
23,174.843,0.78029,1.70387,1.36584,1,0.09874,0.97235,0.63991,0.88957,2.80431,1.3388,0.00011592,0.00011592,0.00011592
24,182.214,0.80674,1.76998,1.38492,1,0.11132,0.96841,0.67718,0.83093,2.7658,1.29266,8.3848e-05,8.3848e-05,8.3848e-05
25,189.668,0.79504,1.69421,1.43655,1,0.19383,0.97362,0.70279,0.7826,2.72384,1.26984,4.8608e-05,4.8608e-05,4.8608e-05
